	TCGA.P7.A5NY.01A	TCGA.QR.A705.01A	TCGA.QR.A6H3.01A	TCGA.QR.A706.01A	TCGA.QR.A6GW.01A	TCGA.PR.A5PG.01A	TCGA.PR.A5PF.01A	TCGA.QR.A6GU.01A	TCGA.QR.A6H2.01A	TCGA.QR.A6GX.01A	TCGA.QR.A70E.01A	TCGA.QR.A703.01A	TCGA.P8.A6RY.01A	TCGA.QR.A6H0.01A	TCGA.QR.A70I.01A
SPRED3	1.462917517	-3.541056962	-1.085494448	-1.536918096	1.635688732	1.603803647	-3.169471888	-1.18457878	-1.358559884	-4.575528322	0.308166119	-2.067879572	-3.760037095	-2.355011551	0.89597034
NPHS1	3.025571356	0.055120413	-2.396119902	0.01	1.814843153	3.125028053	0.01	0.01	0.80883959	0.01	1.03228645	-0.115532027	1.60168372	-3.402563835	-3.444569103
HSPB6	-0.265339708	-3.386356605	-3.080323087	-0.046246514	0.636533988	-0.33350512	-0.242343829	-0.618907223	0.340787359	-0.987698766	-1.426286954	-0.058796048	0.833071374	-2.374266296	-2.694743225
ATP4A	0.01	0.01	0.529043877	0.01	0.01	0.01	0.01	-1.739849689	0.01	0.01	0.01	0.01	1.176386632	0.01	0.01
DMKN	-1.70686576	1.916577581	3.372189999	1.212961048	-2.268662511	0.01	0.940272	4.495491202	0.01	1.39670235	5.027215177	0.582426734	6.084997528	5.128236318	-2.068374742
FFAR3	-1.790768459	-0.559582162	0.118414379	-3.362873258	4.096033709	-2.643479132	1.204346921	-2.373035447	1.570496245	0.865387711	-1.067865561	0.176644694	4.478808193	-1.110453624	1.584706813
CD22	1.565259369	2.457142043	4.533693859	3.779515737	0.263771293	-1.916267305	-3.04569233	-1.356263133	0.372908476	-2.451800221	-1.703221377	2.114769787	0.988176432	-0.280121037	-1.179912445
MAG	0.01	3.649158833	5.316818634	4.123985806	0.01	0.01	-2.301135203	0.01	1.161871608	0.01	-3.180934169	2.687960375	0.108255734	-0.808619522	0.01
HAMP	0.140194225	-0.546143861	0.01	-1.93425339	4.053342639	-2.214990772	0.01	0.01	-1.170940396	-2.16552748	0.01	1.605133055	0.01	0.01	-2.308707351
FXYD5	-2.147723404	3.577429323	3.559236118	1.357256768	-0.956391436	-2.158198004	1.548798072	-0.224735384	-0.745515033	-0.642335467	2.073355737	2.995527604	2.823863322	3.280149306	-0.43771329
FXYD7	-1.646591673	7.141176982	8.292946462	2.453941105	1.376804695	0.01	2.241690138	-0.643807698	-1.455240983	-0.279825591	5.018908964	2.227805063	5.984071232	7.482974248	-0.007967962
FXYD1	-0.261504802	1.494216263	4.582011905	2.521375347	-2.786617025	-7.136722633	-2.359126704	-0.508534883	-1.392072782	-1.627703049	-0.642092268	1.873383341	-3.464303557	3.947864329	0.819540147
LGI4	-0.854958051	-0.66106264	4.108207744	2.721080289	-1.303954846	-1.851885091	-1.611368619	0.210026466	-1.532502487	-0.954434439	-0.237926501	1.461590531	-1.761404151	3.553626287	1.667742147
FXYD3	-0.585078304	-0.353875081	5.78355993	2.387287136	0.01	0.01	-0.982239765	-1.752278306	0.01	0.01	0.640360726	1.856296429	0.01	4.873721881	1.468495518
CHST8	1.015143384	-0.148690898	-4.781869816	-1.120282673	0.336011185	-1.541665455	0.759396895	-0.511728474	2.367442438	-1.448564706	0.001598429	0.176477685	-0.794686157	-4.881436402	-3.260288933
KLK1	0.01	2.827387556	4.192802637	0.01	0.01	0.01	-1.26040418	0.01	0.01	0.01	0.181639198	0.01	-0.850969387	-0.767805698	0.01
SHANK1	0.483609148	-0.329830339	-0.668820654	0.487022406	-0.226851322	-1.333247328	0.059423345	0.80560726	-2.756082508	-0.032925834	1.409198287	-0.658082052	0.59993156	-0.43927336	1.534782248
MYH14	-2.277582869	4.422278481	3.389484591	1.946563974	-4.36278019	-6.069033525	-2.44342904	0.610993575	5.673879224	-6.019410476	4.239749709	0.720873041	6.074474841	4.273665797	2.452090796
SLC17A7	-1.192394985	-1.076679101	2.62684716	2.495189651	-2.454482494	-3.160576072	-1.383128251	-0.430664648	-0.001054438	-1.111151372	0	-1.340474866	-2.295709268	3.804309503	1.473598855
ABCC6	2.014519456	0.395286538	-0.193483389	-1.545385747	-1.120022835	1.4666621	1.214377632	0.64600951	-1.688956416	-0.513624859	2.587453239	-0.327901096	2.671069316	-1.030018513	-4.241911983
ABCC8	1.981970368	0.545586706	0.799380558	1.008432594	-1.465984926	0.777010992	1.519440008	-4.306739994	1.673031919	-0.284611101	1.6061841	-0.233533465	-0.086608943	0.862713115	-1.552020503
USH1C	-0.854552072	-1.360311381	0.01	0.01	-1.153157314	-1.444246032	4.161007686	0.01	0.336785432	-1.394782741	-1.868739657	1.112838864	0.01	-2.496127824	0.01
TPH1	-3.268751922	-0.452552343	2.118564864	1.32928825	3.97703337	-2.53657139	3.533808428	-0.6809613	6.647187898	-0.486948341	2.820559703	-0.716265186	-0.086553089	5.80827008	-1.045222535
LDHC	1.330460358	0.01	0.01	0.01	1.920838343	4.858579229	4.670252841	0.01	0.01	-0.472757537	0.01	-1.871999383	0.01	-2.159065121	-2.20107039
PTPN5	-3.458646907	0.860075178	4.476153391	0.923651848	4.7008829	-0.989372974	2.744151439	-1.233451591	-1.530237654	-1.676894782	1.690601729	-1.268769028	1.411611952	6.048318738	1.987303313
SLC6A5	-1.155062567	0.01	0.01	0.01	-2.301689126	1.799647323	5.695750199	0.01	-0.548558167	0.01	-2.431964019	0.01	0.01	0.01	2.483532732
NELL1	3.314874782	-3.676273916	-0.805667034	2.207020405	2.96824981	6.466783966	7.212969024	-3.489764882	8.531569542	-2.125834231	0.241667266	-3.525024621	-0.087949249	-3.227127858	6.381462153
GABRG3	-2.653079331	2.300541596	-0.480879779	0.01	1.803169081	0.01	0.913177192	0.01	2.801274664	-4.193309999	1.355203146	0.01	-3.377818772	-2.709692581	3.745630864
ATP10A	-1.87841771	-0.33909965	-0.583931015	2.009052001	-0.08641733	-0.568856287	-2.208483991	1.361370614	-1.856984715	0.034531683	-1.665169941	0.906150613	-0.281245994	0.489988592	1.479797859
PCSK6	-3.412216703	2.271841042	-0.239981756	3.226058173	-2.447777718	-1.236356949	0.370117367	2.387549142	-3.405269761	2.637027243	1.926004425	3.28748812	-0.309149017	0.519097926	1.240669913
ALDH1A3	1.820919277	-0.958831141	-0.656574915	-0.487160358	0.619654742	1.159952493	1.380778152	0.774749499	-3.529269809	-2.133538502	1.061799632	2.620420757	-3.329795581	-0.437130439	-0.071206674
MCTP2	-1.205122364	-0.236963376	-4.27317624	4.378294923	2.189158124	-2.05783113	-2.07179686	2.664789393	-3.446706917	-2.593338317	-1.745241361	-1.292135597	0.160720888	-0.957733479	2.784424775
NTRK3	2.574150682	-1.482671464	-2.196986209	0.153593615	-0.21137277	0.040080238	4.978663573	0.967865727	-2.151866961	0.638154139	-2.749936952	-2.053865097	1.729682765	-1.004662933	1.096205042
ACAN	-4.21335032	-1.530452975	0.716914007	2.193991749	1.599034236	-1.142292853	-2.943103534	2.481660419	-3.524484941	-0.252317561	-1.453766392	2.66239079	2.296363695	0.225031182	1.583272445
SLC28A1	-2.368111146	1.033076054	0.318791285	0.966868319	-0.344682138	-0.635770857	0.01	-1.365194735	-1.176760457	0.01	0.261792248	2.506285589	0.01	-0.102690148	-0.14458176
BNC1	-1.806672313	0.594514888	2.202125241	1.665825023	-0.046329935	0.01	0.381187703	-1.803755902	-1.615321623	-2.024868732	0.01	-0.254185576	0.01	2.1956646	2.001838516
SH3GL3	0.01	-0.250365916	4.32576182	-1.053520331	-4.087681726	0.01	6.341310941	1.031386157	1.393328029	2.613305916	5.364072932	2.485876012	-0.228337118	3.902592088	3.767213731
ADAMTSL3	1.013439115	-1.793506635	-2.270778594	1.672800859	-0.769198082	-0.730566681	5.672763965	0.574418321	-0.977731068	1.030024892	-1.617282857	-1.09203291	-0.865648139	-0.414737476	1.028867045
FOLH1	-2.481299668	1.570075368	2.017148854	3.508982013	0.464859264	0.380235991	-4.071113579	2.865746604	0.07929346	3.036243992	1.513083169	1.743521225	-1.381627623	1.532951477	0.577891221
NOX4	-2.74383509	1.750390744	4.346689159	3.420263316	-0.305478522	-0.964285622	-0.939384615	2.335014073	0.880478842	2.411746128	0.412040937	0.339070536	-0.099361927	3.931995626	2.392940054
FAM181B	2.546855526	-3.49577028	-0.326654777	-1.038805417	2.481713915	1.181229625	-0.115448563	-4.263375826	1.751781778	-5.09210131	-1.084800194	-1.211230783	-1.374333223	-0.9204401	-2.323816505
WNT11	1.00134249	0.042205776	2.604727907	-0.139469891	1.941246621	-1.420226072	1.54627526	-0.471645422	0.47185316	-1.692697517	-0.212315793	-0.25903933	-3.877167698	1.112842427	-0.835860105
KCNE3	-1.059753994	1.640925738	2.985504801	2.974881992	1.74323208	-0.556074004	-0.40248784	1.912283512	1.024689084	1.810345009	0.704191004	2.385724683	-0.079606136	2.177992101	0.989841617
PLEKHB1	1.140264374	0.651711738	3.62270992	2.10290277	0.624893529	0.148686956	1.269974946	-2.722411257	-0.822306453	-0.210101758	0.093681797	1.400123352	-1.221099075	3.803185663	1.548540846
P2RY2	0.432737887	-0.689706101	0.4033405	0.829066198	1.347540565	-0.773590511	2.306407485	-0.503102679	-1.899426401	0.01	-3.782832253	-3.123369066	-1.493686208	1.113083952	-0.452312209
FOLR1	1.756138224	3.697099313	4.40329163	0.252073511	0.01	-4.88679102	1.995142382	-2.294232994	2.327341963	0.448202584	3.674818961	0.96324037	2.437699058	4.346847765	-3.980347841
OR51E1	-1.408692016	-1.123043277	-1.252402182	3.123043506	-0.422836751	0.793050126	-0.113986362	1.215552202	-2.917784182	0.976360087	-1.479311022	0.945770148	0.011610395	0.819149454	0.529404096
OR51E2	0.01	-1.622354745	0.01	4.288684736	-0.000195819	-0.706289396	0.749230329	0.371528131	0.01	-1.071863604	0.01	0.8507955	-1.841334878	0.826736112	3.389788225
HBB	0.490201352	-1.367757342	2.939411149	-1.015753497	-2.613808237	0.011420821	-0.851333354	-0.801770186	-0.791672471	-0.059737482	-1.302613012	-3.406666723	1.155099951	-0.177046232	7.087651311
TRIM6	1.987941859	-1.355774064	-1.369644479	0.914318775	-0.590608791	3.149359169	-1.399189192	0.034539471	-1.317609664	-0.930791631	0.943304915	-1.397145458	-1.989799931	0.538166522	-2.118358863
CCKBR	0.01	0.01	-0.822046659	0.01	-1.070613149	0.223391199	1.848835927	0.01	0.01	0.01	-2.200888041	-1.541424855	0.673249743	0.01	0.937005189
HPX	-0.376086883	-1.514114421	-0.058514226	0.383155593	0.393476873	-0.074470272	-1.142491665	-3.327567706	-3.138884781	-1.548586691	0.88448563	-0.555491912	-2.733144588	0.77633306	-0.299434901
CYB5R2	-1.150312085	0.591075682	2.994597169	-0.722274583	-0.0103907	1.476142137	-0.733909445	-2.454999846	-0.112578549	-1.676037601	0.082799747	-0.454688646	-1.182498417	-0.344435337	-1.38625876
LYVE1	-0.070015527	-1.330071212	-0.711609195	0.720053564	0.261182435	-0.819969	-2.516443346	0.801026359	-2.638393135	1.072463355	0.61860826	-0.199356727	2.196729624	-0.154879489	0.035843183
SPON1	0.069845386	-1.139900722	-2.985461428	2.226286753	2.056775117	4.224653657	4.819840169	-0.735403822	-2.89594548	0.605865361	1.210524994	-1.784268295	-2.76696933	-2.035503865	2.52995829
CALCA	1.017900139	-3.231985409	0.01	-3.035182679	2.118092124	2.22321642	8.062915633	0.042025419	3.282717518	-1.681545724	-2.418356956	-0.910841273	-0.451031328	0.01	0.01
INSC	-0.793349178	-0.114692339	3.441521937	2.87569964	-2.592004856	-3.105467345	-0.743072556	-2.83502366	-4.646456944	0.01	-0.944891273	1.699546494	0.01	3.546513136	3.400699921
SOX6	-1.614089015	0.798163908	1.072710599	2.253410885	0.218180665	1.350101797	3.661148305	-1.452648246	-3.264037166	-4.25862425	-1.732473971	-0.072929043	-0.919624458	1.722138155	1.569710229
SYT17	1.841095794	0.653926142	-0.418842019	1.141284342	-0.260809329	0.912224483	-1.909354633	1.447506711	-3.855738359	0.707719139	2.306172843	1.544384175	-0.324393046	0.09863481	0.39174371
GPR139	0.01	-0.061897224	-0.705821241	2.152864514	0.01	0.01	-4.012195027	0.847159172	0.01	0.488608261	1.216418614	0.767443745	0.01	2.019519531	-0.976497244
CRYM	2.045493395	-0.138298012	-0.267670522	0.01	-1.516237012	0.01	2.233287062	0.01	0.01	0.01	-0.646726288	0.012951283	-0.357278145	0.01	0.01
VWA3A	-2.254065334	0.562020394	-2.567295595	2.373581438	-2.815862085	-1.521857736	0.01	-2.251414051	2.222632358	0.01	2.577313131	3.724528215	-0.656947074	-2.573739528	-1.030668639
SCNN1G	0.158945039	1.427629937	0.405195455	-0.075960675	-0.065641978	1.228237819	2.143201668	1.557638902	-1.312647681	-3.307234765	3.013326553	-0.53659685	3.366183014	-1.40866265	1.678844028
SCNN1B	0.732252032	1.548419352	0.718632893	-0.370208758	-2.529912989	-0.914012496	-0.195426414	-2.965332519	-2.77689824	-3.186445349	3.197682229	-3.000724695	-0.049096199	1.104479676	0.840261899
ERN2	-0.562910208	0.01	-0.46105874	-2.135015007	0.097841607	0.169341619	-0.375138655	2.498716077	-1.956610481	0.01	2.517536851	-2.180436935	1.771209104	0.01	0.01
PRKCB	-1.3602238	1.231222597	-2.788897515	-0.116930739	3.374875121	4.03681249	-0.828494955	-1.103724778	-1.345751585	-2.031036373	4.122962938	-0.601381765	-1.293573635	0.728207185	4.271347081
CACNG3	0.600251838	1.086017542	1.747764881	2.065762651	-2.964198633	0.374080125	-4.89284439	-1.592460493	-7.21128181	-1.512335783	0.57065147	1.678608914	0.01	-3.815327567	1.621824817
AQP8	-2.402327484	1.413909777	1.60647007	1.610750188	-0.963991543	-1.670146952	0.01	0.01	-1.210976794	-1.620523903	1.227533034	1.372512897	0.01	-0.721868986	-1.763874254
CD19	0.01	0.01	0.01	0.01	0.221268822	0.01	0.01	-1.214248634	0.01	0.01	-1.909103996	0.750359191	0.01	0.01	0.01
DOC2A	0.300131194	-0.003565701	1.238743274	-1.536552312	1.917097522	-1.230318996	-3.068582452	-3.270323441	-0.782072335	-2.708168369	3.076382936	-0.944630283	0.784171399	0.160952365	-2.855224342
QPRT	1.785059413	-0.540558847	-1.493032944	-1.357722355	0.013868983	1.85447556	0.332334835	2.075374012	-2.483804775	2.680963285	-0.007612559	-1.912845772	1.809063721	-1.568953692	-2.591496495
STX1B	-4.958838256	1.705277196	3.813268068	-1.682843292	4.314904867	-1.300629926	-1.285665889	-2.030126165	1.582978722	-3.91415788	4.083713736	-0.921056699	3.205110036	3.524957951	1.051209339
PRSS8	3.554412424	-0.419510151	-2.133794921	-0.807619681	-3.382361411	0.371060034	0.01	-1.817913377	1.178091268	1.048532749	-1.512743491	-0.853173116	0.09845538	0.01	0.01
COX6A2	0.01	0.01	0.01	-3.451206467	-1.025718764	-3.731972099	1.630590213	0.01	2.936726805	0.01	-0.834292114	3.547741048	3.26237006	-3.783694133	-2.240623245
FGFR2	0.046561975	3.396875194	-1.015296985	2.398362235	2.198740312	-4.588761108	1.43445472	-3.425179242	2.034536214	-2.302263864	1.969048799	-3.353573729	-2.361272165	-5.8630125	0.902479223
HMX3	-0.953389068	2.913384147	-2.073917385	-2.747873651	-3.322483875	0.01	0.748968294	-2.757903405	-0.56941102	-1.394053734	0.01	0.01	2.694401544	2.896876548	-1.122196105
HMX2	-1.822706105	3.861309593	-0.872930377	-3.13179419	-2.121311346	0.01	0.043119661	0.01	2.719113152	-3.362936773	0.01	0.407723762	2.700426569	4.172301156	0.01
FAM196A	-2.207644667	1.193542533	1.06416531	1.390395505	-0.769308726	0.01	3.934396626	-0.204860693	0.01	-1.425841086	3.270234195	1.081807663	0.01	2.173202594	5.045661055
EBF3	-1.512066906	1.595856808	1.361151564	2.527632517	-3.19471555	-2.268566678	4.797873047	-0.542869881	0.872973716	-2.925378916	-1.60273278	1.131363386	0.068426975	2.714024272	0.464878016
TCERG1L	-0.689698152	0.206146211	-6.664643279	0.661522202	0.298772984	-1.748861181	1.886151205	0.929720353	1.177502321	0.490922005	-3.551745899	1.55700128	1.975314465	-3.8131519	-2.735671841
